name,description,url,logo_url,categories,domains,cost_index,bench_score,embedding_text
"GPT-5","가장 진보된 언어 모델로 수학, 코딩, 복잡한 추론에서 최고 수준의 성능을 제공하는 범용 AI","https://openai.com/chatgpt","https://www.google.com/s2/favicons?domain=openai.com&sz=128","콘텐츠 생성, 코딩 지원, 데이터 분석","이메일 초안 작성, 보고서 요약, 코드 생성, 창작 지원",1,98,"OpenAI GPT-5는 2025년 8월 출시된 가장 진보된 언어 모델로, AIME 2025에서 94.6%의 수학 성취도와 SWE-bench Verified에서 74.9%의 코딩 성능을 달성했다. 이전 모델 대비 환각 현상이 크게 줄어들었으며, 복잡한 추론과 창의적 작업에서 인간 수준에 근접한 성능을 보여준다. 무료 사용자도 무제한 접근이 가능하며 유료 사용자는 더 높은 수준의 지능을 활용할 수 있다. 비즈니스 글쓰기, 학술 연구, 소프트웨어 개발, 창작 활동 등 광범위한 지적 작업에서 인간의 노력을 극적으로 줄여주는 핵심 도구이다."
"Claude 4.1 Opus","고도의 안전성과 복잡한 추론 능력을 갖춘 Anthropic의 최신 플래그십 AI 모델","https://www.anthropic.com/claude","https://www.google.com/s2/favicons?domain=anthropic.com&sz=128","콘텐츠 생성, 코딩 지원, 분석","학술 연구, 법률 문서 분석, 복잡한 코드 리뷰, 전략 분석",2,95,"Anthropic Claude 4.1 Opus는 2025년 8월 출시된 최신 플래그십 모델로, Level 3 안전성 등급을 받을 정도로 강력한 능력을 인정받았다. Constitutional AI와 RLHF 훈련을 통해 높은 윤리적 기준을 유지하면서도 복잡한 추론과 분석 작업에서 탁월한 성능을 보인다. 특히 법률, 의료, 학술 연구 등 고도의 전문성과 정확성이 요구되는 분야에서 신뢰할 수 있는 결과를 제공한다. API, Claude 앱, GitHub Copilot 등 다양한 플랫폼에서 접근 가능하며, 긴 문서 분석과 복잡한 다단계 추론이 필요한 전문가 수준의 작업에 최적화되어 있다."
"Claude 3.5 Sonnet","속도와 성능의 균형을 맞춘 범용 AI 모델로 코딩과 시각적 추론에 특화","https://www.anthropic.com/claude","https://www.google.com/s2/favicons?domain=anthropic.com&sz=128","콘텐츠 생성, 코딩 지원, 이미지 분석","웹 개발, 차트 해석, 텍스트 추출, 멀티스텝 워크플로우",1,88,"Claude 3.5 Sonnet은 Claude 3 Opus보다 2배 빠른 속도로 작동하면서도 동등하거나 더 나은 성능을 제공하는 중급 모델이다. 코딩 평가에서 64%의 문제 해결률을 달성하며, 특히 시각적 추론, 차트 해석, 이미지에서의 텍스트 추출에서 강점을 보인다. Artifacts 기능을 통해 실시간으로 코드와 콘텐츠를 생성하고 편집할 수 있어 협업적 작업 환경을 제공한다. 컴퓨터 사용(computer use) 기능으로 데스크톱 환경에서 직접 작업을 수행할 수 있으며, 일반적인 비즈니스 업무와 개발 작업에서 비용 효율적인 선택지로 평가받는다."
"Gemini 2.5 Pro","Google의 최고 수준 추론 모델로 코딩, 수학, STEM 분야의 복잡한 문제 해결에 특화","https://gemini.google.com","https://www.google.com/s2/favicons?domain=google.com&sz=128","코딩 지원, 데이터 분석, 과학 연구","소프트웨어 개발, 데이터 사이언스, 학술 연구, 대규모 문서 분석",2,93,"Google Gemini 2.5 Pro는 사고(thinking) 모델로 설계된 최고 수준의 추론 능력을 갖춘 플래그십 모델이다. WebDev Arena에서 ELO 1420점으로 1위를 기록했으며, 100만 토큰의 컨텍스트 윈도우로 긴 문서와 대규모 코드베이스 분석이 가능하다. 코딩 벤치마크에서 최고 점수를 기록했고, 복잡한 수학과 STEM 문제 해결에서 탁월한 성능을 보인다. PDF, 오디오, 비디오, 이미지 등 다양한 형태의 입력을 처리할 수 있으며, 특히 대규모 데이터셋과 복잡한 코드베이스를 다루는 전문가들에게 이상적인 도구이다. 비용보다는 최고 품질의 결과물이 필요한 미션 크리티컬한 작업에 적합하다."
"Gemini 2.5 Flash","속도와 비용 효율성에 최적화된 Google의 경량 AI 모델","https://gemini.google.com","https://www.google.com/s2/favicons?domain=google.com&sz=128","콘텐츠 생성, 일반 분석, 빠른 처리","대화형 앱, 고속 프로토타이핑, 대규모 일괄 처리, 실시간 응답",1,85,"Gemini 2.5 Flash는 가격과 성능의 최적 균형을 제공하는 Google의 주력 모델이다. 적응형 사고(adaptive thinking) 기능으로 필요에 따라 추론 깊이를 조절할 수 있으며, 대규모 처리, 낮은 지연 시간, 높은 처리량이 필요한 작업에 특화되어 있다. 사고 기능을 선택적으로 활성화할 수 있어 단순한 작업에서는 빠른 응답을, 복잡한 작업에서는 심층적인 분석을 제공한다. 에이전트 기반 사용 사례와 실시간 애플리케이션에 이상적이며, 스타트업이나 개발팀이 빠른 프로토타이핑과 대규모 서비스 구축에 활용하기에 최적의 가성비를 제공한다."
"Midjourney V7","텍스트-이미지-비디오 생성이 통합된 차세대 AI 창작 플랫폼","https://www.midjourney.com","https://www.google.com/s2/favicons?domain=midjourney.com&sz=128","이미지 생성, 비디오 생성, 3D 모델링","마케팅 콘텐츠, 개념 시각화, 브랜드 디자인, 창작 작업",2,92,"Midjourney V7은 2025년 초 출시된 완전히 재구축된 시스템으로, 기존 이미지 생성 능력에 텍스트-비디오 및 3D 모델 생성 기능을 추가했다. 6장의 이미지만으로 60초 길이의 고품질 비디오를 약 3시간 만에 생성할 수 있으며, NeRF와 유사한 3D 형식을 지원한다. 향상된 사실성과 정밀한 프롬프트 해석으로 경쟁 플랫폼 대비 '10배 더 우수'하다고 평가받는다. Midlibrary의 2,500개 Sref 코드로 일관된 스타일 참조가 가능하며, 마케팅, 엔터테인먼트, 컨셉 아트 등 시각적 콘텐츠가 핵심인 산업에서 창작 과정을 혁신적으로 단축시키는 도구다."
"Perplexity Deep Research","자율적으로 수십 개의 검색을 수행하고 종합 보고서를 생성하는 AI 연구 도구","https://www.perplexity.ai","https://www.google.com/s2/favicons?domain=perplexity.ai&sz=128","연구 자동화, 보고서 생성, 정보 분석","시장 조사, 학술 연구, 경쟁 분석, 투자 분석",1,89,"Perplexity Deep Research는 2025년 2월 출시된 자동화된 연구 도구로, 2-4분 만에 전문가 수준의 종합 연구 보고서를 생성한다. 수십 번의 검색과 수백 개의 소스를 읽고 분석하여 금융, 마케팅, 제품 연구 등 전문 분야의 인사이트를 제공한다. Humanity's Last Exam에서 높은 벤치마크를 달성했으며, 무료 사용자도 제한적으로 이용 가능하고 Pro 구독자는 무제한 사용할 수 있다. PDF 내보내기와 Perplexity Page 공유 기능으로 협업이 용이하며, 수시간이 걸리는 연구 작업을 분 단위로 단축시켜 리서치 기반 업무의 생산성을 극적으로 향상시킨다."
"Perplexity AI","실시간 웹 검색과 AI를 결합한 차세대 검색 엔진","https://www.perplexity.ai","https://www.google.com/s2/favicons?domain=perplexity.ai&sz=128","정보 검색, 실시간 분석, 대화형 검색","팩트 체킹, 최신 정보 조회, 경쟁 분석, 뉴스 요약",1,87,"Perplexity AI는 2025년 현재 월 1억 5천만 명의 활성 사용자를 보유한 AI 기반 검색 엔진으로, 전통적인 링크 나열 대신 출처가 명확한 종합적인 답변을 제공한다. 실시간 웹 데이터와 LLM을 결합하여 최신 정보에 대한 정확한 응답을 생성하며, 2025년 7월 출시된 Comet 브라우저로 검색과 브라우징을 통합했다. 음성 어시스턴트, 쇼핑 허브, WhatsApp 통합 등 다양한 기능을 제공하며, Pro 플랜은 GPT-4, Claude 등 고급 모델 접근과 파일 분석 기능을 포함한다. 90억 달러 가치평가를 받으며 Google 검색과 ChatGPT의 주요 경쟁자로 자리잡았다."
"GitHub Copilot","개발자의 기존 IDE에 통합되는 AI 코딩 어시스턴트","https://github.com/features/copilot","https://www.google.com/s2/favicons?domain=github.com&sz=128","코딩 지원, 자동완성, 코드 리뷰","소프트웨어 개발, 코드 리팩토링, API 개발, 디버깅",2,88,"GitHub Copilot은 VS Code, JetBrains, Neovim 등 기존 IDE에 완벽하게 통합되는 AI 코딩 어시스턴트로, 개발자의 워크플로우를 그대로 유지하면서 AI 지원을 추가한다. 실시간 코드 자동완성, 함수 생성, 타입 추론에서 특히 강점을 보이며, 프로덕션 레디 코드 스니펫 생성에 뛰어나다. Copilot Chat을 통한 대화형 코드 리팩토링과 디버깅 지원도 제공한다. 월 10달러부터의 합리적인 가격으로 개별 개발자부터 엔터프라이즈까지 광범위하게 사용되며, 기존 개발 환경을 바꾸지 않고도 AI의 도움을 받고 싶은 개발자들에게 이상적인 선택지다."
"Cursor","AI 우선 설계로 구축된 차세대 코딩 IDE","https://www.cursor.com","https://www.google.com/s2/favicons?domain=cursor.com&sz=128","코딩 지원, IDE, AI 편집","소프트웨어 개발, 프로토타이핑, 코드베이스 분석, 멀티파일 편집",1,91,"Cursor는 VS Code 기반으로 구축되었지만 AI와의 협업을 핵심으로 설계된 완전한 개발 환경이다. 전체 코드베이스의 맥락을 이해하여 멀티파일 편집, 대규모 리팩토링, 복잡한 구조 변경에서 Copilot을 능가하는 성능을 보인다. AI 채팅 패널이 메모리를 유지하여 연속적인 대화가 가능하고, 코드 생성부터 디버깅까지 선언적이고 유지보수가 용이한 솔루션을 제공한다. 월 20달러의 Pro 플랜과 무료 버전을 모두 제공하며, 스타트업과 인디 해커들 사이에서 특히 인기가 높다. AI 기반 개발 워크플로우를 완전히 수용하고자 하는 개발자들에게 가장 진보된 도구로 평가받는다."
